t	x_0	y_0	z_0	x_1	y_1	z_1	E	|j|	|e|	a_maj
0.00	0.50	0.15	0.00	-0.50	-0.15	0.00	-0.10	0.27	0.72	0.15
0.30	0.46	0.30	0.00	-0.46	-0.30	0.00	-0.08	0.30	0.68	0.16
0.60	0.37	0.44	0.00	-0.37	-0.44	0.00	-0.06	0.32	0.64	0.17
0.90	0.24	0.55	0.00	-0.24	-0.55	0.00	-0.04	0.35	0.60	0.19
1.20	0.09	0.63	0.00	-0.09	-0.63	0.00	-0.02	0.37	0.56	0.20
1.50	-0.09	0.66	0.00	0.09	-0.66	0.00	-0.01	0.40	0.53	0.22
1.80	-0.26	0.66	0.00	0.26	-0.66	0.00	0.01	0.42	0.49	0.24
2.10	-0.44	0.60	0.00	0.44	-0.60	0.00	0.02	0.45	0.45	0.26
2.40	-0.59	0.51	0.00	0.59	-0.51	0.00	0.03	0.48	0.42	0.28
2.70	-0.72	0.38	0.00	0.72	-0.38	0.00	0.04	0.51	0.37	0.30
3.00	-0.82	0.22	0.00	0.82	-0.22	0.00	0.05	0.53	0.33	0.32
3.30	-0.88	0.04	0.00	0.88	-0.04	0.00	0.06	0.56	0.28	0.34
3.60	-0.89	-0.15	0.00	0.89	0.15	0.00	0.08	0.59	0.22	0.37
3.90	-0.85	-0.35	0.00	0.85	0.35	0.00	0.09	0.62	0.16	0.40
4.20	-0.78	-0.54	0.00	0.78	0.54	0.00	0.11	0.65	0.10	0.43
4.50	-0.66	-0.71	0.00	0.66	0.71	0.00	0.12	0.68	0.03	0.47
4.80	-0.50	-0.85	0.00	0.50	0.85	0.00	0.14	0.71	0.03	0.51
5.10	-0.32	-0.96	0.00	0.32	0.96	0.00	0.15	0.75	0.10	0.56
5.40	-0.11	-1.03	0.00	0.11	1.03	0.00	0.16	0.78	0.18	0.63
5.70	0.12	-1.06	0.00	-0.12	1.06	0.00	0.17	0.81	0.25	0.71
